id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review_clean,reviews_per_month_clean,calculated_host_listings_count,availability_365,price_category,stay_category,availability_category,review_activity_category,host_scale_category,review_recency,days_since_last_review,estimated_annual_revenue,review_efficiency,host_business_scale,performance_tier,market_position,estimated_occupancy_rate
30378844,Mellow Stuyvesant Bedroom Madison 2L-2,226410657,Nina,Brooklyn,Bedford-Stuyvesant,"40,68768","-73,93076",Private room,42,30,2,01/06/2019,"0,86",27,311,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2256,13062,"0,0064",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
28185867,Zen & Cozy Room In Astoria,39537244,Evelyn,Queens,Ditmars Steinway,"40,78569","-73,91522",Private room,42,3,11,02/07/2019,"1,14",1,244,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2225,10248,"0,0451",Single Property Host,Good Performer,Budget Popular,"45,2"
852632,Gowanis Urban Oasis,4451246,Raymond,Brooklyn,Gowanus,"40,66893","-73,99404",Shared room,44,2,155,01/07/2019,"2,11",1,325,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2226,14300,"0,4769",Single Property Host,High Performer,Budget Popular,"17,8"
29105910,HABITACION PRIVADA PARA TI EN NYC.. PRIVATE ROOM,115734913,Nahi,Bronx,Fordham,"40,85791","-73,89528",Private room,39,2,24,22/06/2019,"2,73",1,211,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2235,8229,"0,1137",Single Property Host,High Performer,Budget Popular,"45,2"
17122814,Sunny room,33675739,Giselle,Manhattan,East Harlem,"40,79315","-73,93984",Private room,47,2,60,23/06/2019,"2,52",2,233,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,10951,"0,2575",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
26255072,15 min to NYC from a comfy and clean house.,157295347,Ana,Queens,Woodside,"40,74445","-73,90581",Private room,32,2,16,23/12/2018,"1,28",3,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2416,11680,"0,0438",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
20176000,Heavenly Pad!!!,142447586,Winnie & Andy,Bronx,Williamsbridge,"40,88032","-73,85877",Private room,45,3,33,19/06/2019,"1,47",4,325,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2238,14625,"0,1015",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
34112635,CRASH PAD near LGA JFK,21216008,Jose,Queens,Jackson Heights,"40,75078","-73,87949",Shared room,28,1,4,08/06/2019,"2,11",4,354,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2249,9912,"0,0113",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
26440393,1 BED IN LIVING ROOM NEAR Q SUBWAY AVE U,172369331,Abby,Brooklyn,Sheepshead Bay,"40,5972","-73,95777",Shared room,40,5,12,01/07/2019,"1,07",10,301,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2226,12040,"0,0399",Medium Scale Host (6-20),Good Performer,Budget Popular,"17,8"
26739075,Brand New Brooklyn Style Hostel RM3 #2,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,"40,69385","-73,95696",Shared room,36,1,18,01/05/2019,"1,53",34,365,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Large Scale (>20),Sangat Lama (>1 tahun),2287,13140,"0,0493",Large Scale Host (>20),Good Performer,Budget Popular,"17,8"
34756976,Gigi’s Room,74633496,Justine,Bronx,University Heights,"40,85689","-73,9091",Private room,40,5,0,,0,5,362,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Small Scale (2-5),Tidak Ada Review,,14480,0,Small Scale Host (2-5),Low Performer,Budget Struggling,"17,8"
35907244,Bright Breezy Sleeping Pad NextdoorTo Subway/Pratt,21261408,Jay,Brooklyn,Clinton Hill,"40,68853","-73,96089",Shared room,45,1,0,,0,6,345,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,15525,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
17315299,Furnished Room/ 550/3,18212433,Veronique Camille,Manhattan,Washington Heights,"40,85131","-73,93235",Private room,50,30,0,,0,8,358,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,17900,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
21627794,Amazing male room next to the river for longtermII,39528519,Max,Manhattan,Lower East Side,"40,71136","-73,98808",Shared room,33,100,0,,0,28,308,Budget (≤$50),Long Stay (>30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,10164,0,Large Scale Host (>20),Low Performer,Budget Struggling,"17,8"
1717138,"Cozy private Basement studio,15mins  from the city",8943770,Patrick,Brooklyn,Flatbush,"40,63304","-73,95625",Entire home/apt,49,2,23,03/07/2019,"3,5",1,262,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2224,12838,"0,0878",Single Property Host,High Performer,Budget Popular,"45,2"
5940268,The Big Room in Flushing,30839692,Stavros,Queens,Flushing,"40,75518","-73,80422",Private room,50,1,154,06/07/2019,"3,05",3,243,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2221,12150,"0,6337",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
22971238,"Suite 18 - Private Room, Close to Coney Island",99296570,Daisy,Brooklyn,Brighton Beach,"40,58012","-73,95896",Private room,35,1,77,18/06/2019,"4,67",5,187,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2239,6545,"0,4118",Small Scale Host (2-5),High Performer,Budget Popular,"72,6"
63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,"40,63481","-74,08519",Private room,36,2,333,02/07/2019,"3,19",6,340,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2225,12240,"0,9794",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
11634797,Fully furniture huge room in great apt,4187747,Carmel,Bronx,Riverdale,"40,9008","-73,90639",Private room,49,6,2,01/01/2017,"0,05",1,340,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),3137,16660,"0,0059",Single Property Host,Average Performer,Budget Struggling,"17,8"
33618213,Clean and quiet Brooklyn room 35 mins from Soho,23991239,Ann,Brooklyn,Bedford-Stuyvesant,"40,68898","-73,94139",Private room,50,10,1,01/06/2019,"0,77",1,246,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2256,12300,"0,0041",Single Property Host,Average Performer,Budget Struggling,"45,2"
205735,"A Cozy Oasis in Bushwick, NY",1011426,Danielle,Brooklyn,Bushwick,"40,68364","-73,91076",Private room,41,2,55,30/04/2019,"0,59",1,286,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2288,11726,"0,1923",Single Property Host,Average Performer,Budget Struggling,"45,2"
13256651,Large Comfy Couch in South Prospect Park,56142507,Marie,Brooklyn,Flatbush,"40,64542","-73,96484",Shared room,46,1,22,17/05/2019,"0,58",1,365,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2271,16790,"0,0603",Single Property Host,Average Performer,Budget Struggling,"17,8"
8668115,Zen Room in Crown Heights Brooklyn,8996336,Laura,Brooklyn,Crown Heights,"40,67255","-73,94914",Private room,50,500,10,22/09/2016,"0,22",1,365,Budget (≤$50),Long Stay (>30 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),3238,18250,"0,0274",Single Property Host,Average Performer,Budget Struggling,"17,8"
7647268,NiceRoomNiceNeighborhoodCloseMaimonidesHospital,40124500,Regina,Brooklyn,Borough Park,"40,63741","-74,00118",Private room,45,1,43,29/06/2019,"0,99",2,310,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2228,13950,"0,1387",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
11756047,Beautiful Room for Rent! L Train!,41616878,Melissa,Brooklyn,Bushwick,"40,69164","-73,90968",Private room,45,30,16,31/03/2019,"0,43",4,334,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2318,15030,"0,0479",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
29595432,BSM2. Shares basement,215588687,Levi,Brooklyn,Prospect-Lefferts Gardens,"40,66192","-73,94668",Shared room,25,2,1,27/11/2018,"0,13",6,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2442,9125,"0,0027",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
29337184,J- HOTEL STYLE SHARE ROOM FOR 2PPL FREE WIFI CABLE,8814258,Nikole,Queens,South Ozone Park,"40,67293","-73,79554",Shared room,30,4,1,03/05/2019,"0,45",7,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2285,10950,"0,0027",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
30376063,Industrial Chic Stuyvesant Bedroom Madison 1R-1,226410657,Nina,Brooklyn,Bedford-Stuyvesant,"40,68551","-73,9324",Private room,42,30,1,19/05/2019,"0,58",27,346,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2269,14532,"0,0029",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
28428636,Room for easy commute. Near train & essentials!,137358866,Kazuya,Queens,Elmhurst,"40,74345","-73,87901",Private room,38,30,2,30/05/2019,"0,39",103,247,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2258,9386,"0,0081",Large Scale Host (>20),Average Performer,Budget Struggling,"45,2"
28477383,Spacious RM in Quiet Area near LGA & MNHTN express,137358866,Kazuya,Queens,Woodside,"40,74301","-73,89458",Private room,50,30,2,11/05/2019,"0,5",103,269,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2277,13450,"0,0074",Large Scale Host (>20),Average Performer,Budget Struggling,"45,2"
195123,"Cheerful, comfortable room",940724,Susan,Manhattan,Washington Heights,"40,83403","-73,94553",Private room,50,1,225,12/06/2019,"2,35",1,343,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2245,17150,"0,656",Single Property Host,High Performer,Budget Popular,"17,8"
19019762,One bedroom,7813520,Cynthia,Brooklyn,Bushwick,"40,6948","-73,92093",Private room,49,2,55,21/06/2019,"2,15",1,332,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2236,16268,"0,1657",Single Property Host,High Performer,Budget Popular,"17,8"
245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,"40,8679","-73,90023",Private room,42,2,108,19/06/2019,"1,36",2,302,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2238,12684,"0,3576",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
15851507,Artsy charming room in Bushwick !,11297371,Maria,Brooklyn,Bushwick,"40,69889","-73,92937",Private room,50,2,72,03/06/2019,"2,35",2,293,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2254,14650,"0,2457",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
28151027,"Home sweet home
&(QTPOC artistic safe space)",24614094,Naomi,Brooklyn,Bedford-Stuyvesant,"40,68804","-73,94591",Private room,40,1,16,16/06/2019,"1,84",2,310,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2241,12400,"0,0516",Small Scale Host (2-5),Good Performer,Budget Popular,"17,8"
21122874,Private Room w/ Queen Bed & Twin Bed,152353924,Dominique,Bronx,Parkchester,"40,83408","-73,87419",Private room,28,3,27,01/07/2019,"1,32",2,214,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,5992,"0,1262",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
20092176,Large suite with private bathroom (15 min to city),85330,Jean,Queens,Forest Hills,"40,7118","-73,85285",Private room,50,3,30,01/07/2019,"1,28",3,220,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,11000,"0,1364",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
31336040,Queens Rm in Celebrity's Home,213816392,DuChess,Queens,Queens Village,"40,70755","-73,74421",Private room,35,1,17,24/06/2019,"2,79",3,354,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2233,12390,"0,048",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
20275223,FULL BED/Spa Amenities for Sophisticated Travelers,89985620,Annette C,Brooklyn,Flatlands,"40,62187","-73,93079",Private room,49,2,58,29/06/2019,"2,53",3,311,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2228,15239,"0,1865",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
15911064,2 Level Brownstone! Private room! Manhattan in 15!,24140532,Josh,Brooklyn,Bedford-Stuyvesant,"40,69411","-73,94086",Private room,50,3,91,05/07/2019,"2,83",4,262,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2222,13100,"0,3473",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
16976026,Cheap Family home with desk 10 mn to JFK+Mall,107455767,Guelma,Queens,Rosedale,"40,65292","-73,73652",Private room,45,14,70,24/06/2019,"2,38",5,281,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2233,12645,"0,2491",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
19737981,SPOTLESS  bedroom separate entrance  paid parking.,120767920,Jimmy &Cindy,Queens,Flushing,"40,75786","-73,8123",Private room,48,2,54,01/07/2019,"2,28",10,360,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2226,17280,"0,15",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
3586141,"Brooklyn private room, by F,Gtrain",14898658,Chadanut,Brooklyn,Windsor Terrace,"40,65015","-73,97945",Private room,38,30,77,28/04/2019,"1,28",11,309,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Medium Activity (1-3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2290,11742,"0,2492",Medium Scale Host (6-20),Good Performer,Budget Popular,"17,8"
28606853,Bedroom 7 bed A.,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,"40,69313","-73,95533",Shared room,39,1,13,02/07/2019,"1,33",34,365,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Large Scale (>20),Sangat Lama (>1 tahun),2225,14235,"0,0356",Large Scale Host (>20),Good Performer,Budget Popular,"17,8"
35977480,The Empress den,270651073,Nazesta,Queens,Edgemere,"40,5954","-73,7764",Private room,50,3,0,,0,1,363,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Single Property,Tidak Ada Review,,18150,0,Single Property Host,Low Performer,Budget Struggling,"17,8"
32653951,A travelers accomodation,148960265,Randy,Manhattan,Marble Hill,"40,87618","-73,91268",Private room,40,3,0,,0,3,308,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),No Reviews,Small Scale (2-5),Tidak Ada Review,,12320,0,Small Scale Host (2-5),Low Performer,Budget Struggling,"17,8"
16424070,Cozy modern Coliving in Flatbush/twin shared room,27977412,Daria,Brooklyn,East Flatbush,"40,64233","-73,94773",Shared room,38,30,0,,0,4,365,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Small Scale (2-5),Tidak Ada Review,,13870,0,Small Scale Host (2-5),Low Performer,Budget Struggling,"17,8"
36473044,The place you were dreaming for.(only for guys),261338177,Diana,Brooklyn,Gravesend,"40,5908","-73,97116",Shared room,25,1,0,,0,6,338,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,8450,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
33362260,Cozy Brand New Private Room - Steps from M Train,244171850,Jocelyn,Queens,Ridgewood,"40,70302","-73,9063",Private room,47,30,0,,0,10,365,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Medium Scale (6-20),Tidak Ada Review,,17155,0,Medium Scale Host (6-20),Low Performer,Budget Struggling,"17,8"
28014733,Warm & Cozy Room in Sunnyside. Awesome Location!,137358866,Kazuya,Queens,Sunnyside,"40,73703","-73,92179",Private room,38,30,0,,0,103,245,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),No Reviews,Large Scale (>20),Tidak Ada Review,,9310,0,Large Scale Host (>20),Low Performer,Budget Struggling,"45,2"
26198481,Far Rockaway Home near the Beach,196903663,Mickey,Queens,Arverne,"40,59633","-73,80083",Entire home/apt,50,2,58,07/07/2019,"4,59",1,349,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2220,17450,"0,1662",Single Property Host,High Performer,Budget Popular,"17,8"
18264166,10 mins/Airports JFK/LGA/Hosp/malls bus/train# 1,126247863,Seeranie,Queens,Richmond Hill,"40,69104","-73,82204",Private room,50,1,102,23/06/2019,"4,02",2,354,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,17700,"0,2881",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
33996358,Paper moon private room. Best Bushwick location!,11297371,Maria,Brooklyn,Bushwick,"40,69923","-73,93089",Private room,50,2,8,30/05/2019,"3,38",2,292,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2258,14600,"0,0274",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
11219289,A big Sunny Room.,58453451,Michael,Brooklyn,East New York,"40,67327","-73,8872",Private room,33,1,147,02/07/2019,"4,08",2,231,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2225,7623,"0,6364",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
27795234,Near LGA and JFK Airport Cozy Basement Room,194377255,Jimmy,Queens,East Elmhurst,"40,76019","-73,88405",Private room,35,1,92,01/07/2019,"8,87",4,344,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,12040,"0,2674",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
21609205,It's Always Sunny in Bed-Stuy!,19536596,Andrew,Brooklyn,Bedford-Stuyvesant,"40,67653","-73,90814",Private room,48,1,106,01/07/2019,"5,26",5,243,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2226,11664,"0,4362",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
33749769,HABITACIÓN COMPARTIDA PARA MUJERES AVENTURERAS!,223087887,Jess & Ana,Queens,Corona,"40,74116","-73,86705",Shared room,25,2,10,03/07/2019,"3,45",8,344,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2224,8600,"0,0291",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
14987023,Cozy 3rd floor room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,"40,67758","-73,97123",Private room,40,1,168,06/07/2019,"4,91",13,309,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2221,12360,"0,5437",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
2727166,Cozy Room by Kaufman Studios,136352,Fotis,Queens,Astoria,"40,7558","-73,92377",Private room,50,5,37,22/04/2019,"0,59",1,313,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2296,15650,"0,1182",Single Property Host,Average Performer,Budget Struggling,"17,8"
16636214,Private basement bedroom with queen bed,109908957,Natalia & Gustavo,Brooklyn,East Flatbush,"40,64798","-73,94492",Private room,50,7,7,18/05/2019,"0,23",2,348,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2270,17400,"0,0201",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
25622377,The Green Room,180154611,Marlyn,Brooklyn,Canarsie,"40,63808","-73,9001",Private room,49,2,10,03/01/2019,"0,78",3,354,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2405,17346,"0,0282",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
1693524,1 rm @ 3BR loft williamsburg room 3,4864306,Joseph,Brooklyn,Greenpoint,"40,72668","-73,95555",Private room,50,2,13,17/06/2019,"0,22",3,282,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2240,14100,"0,0461",Small Scale Host (2-5),Average Performer,Budget Struggling,"45,2"
23921460,Bright-peaceful room - 30 Min From NYC,165257273,Soon,Queens,Flushing,"40,77244","-73,80061",Private room,40,30,1,20/10/2018,"0,11",3,342,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2480,13680,"0,0029",Small Scale Host (2-5),Average Performer,Budget Struggling,"17,8"
20675762,Medical Student Room C,146776990,Rosemarie,Brooklyn,East Flatbush,"40,65286","-73,93371",Private room,33,30,1,12/06/2019,1,4,245,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Small Scale (2-5),Sangat Lama (>1 tahun),2245,8085,"0,0041",Small Scale Host (2-5),Good Performer,Budget Popular,"45,2"
28918624,Private Room with a Twin Bed,35927005,Kathy,Brooklyn,Borough Park,"40,63549","-74,00699",Private room,45,2,3,30/12/2018,"0,37",10,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2409,16425,"0,0082",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
9663062,Location Eden,3250450,Petya,Queens,Astoria,"40,75806","-73,91345",Private room,43,30,3,07/11/2018,"0,08",18,310,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2462,13330,"0,0097",Medium Scale Host (6-20),Average Performer,Budget Struggling,"17,8"
21122097,Fresh and cozy male room on Manhattan III,39528519,Max,Manhattan,Lower East Side,"40,7111","-73,98865",Shared room,32,14,4,09/02/2019,"0,25",28,341,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2368,10912,"0,0117",Large Scale Host (>20),Average Performer,Budget Struggling,"17,8"
30574764,"Lovely, Convenient & Renovated Bushwick BK Room.",137358866,Kazuya,Brooklyn,Bushwick,"40,69262","-73,91198",Private room,35,30,4,12/05/2019,"0,66",103,269,Budget (≤$50),Monthly Stay (8-30 nights),High Availability (>180 days),Low Activity (≤1/month),Large Scale (>20),Sangat Lama (>1 tahun),2276,9415,"0,0149",Large Scale Host (>20),Average Performer,Budget Struggling,"45,2"
21931979,Shineroom,159974287,Rasul,Queens,Flushing,"40,76245","-73,8238",Private room,38,5,34,08/06/2019,"1,82",1,353,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2249,13414,"0,0963",Single Property Host,Good Performer,Budget Popular,"17,8"
17791461,Bunk Bed Fun Room - really cozy and affordable!,5121858,Erica,Brooklyn,Bushwick,"40,69708","-73,91237",Private room,44,3,31,01/07/2019,"1,11",1,365,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Single Property,Sangat Lama (>1 tahun),2226,16060,"0,0849",Single Property Host,Good Performer,Budget Popular,"17,8"
12287516,Flat on President - Private Room,66215731,Eric,Brooklyn,Park Slope,"40,67719","-73,98142",Private room,50,1,113,16/06/2019,"2,87",2,352,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2241,17600,"0,321",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
30375114,South Prospect Park Private Middle Room F&Q subway,221940893,Sara,Brooklyn,Kensington,"40,6377","-73,97062",Private room,36,2,18,07/07/2019,"2,51",3,189,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Medium Activity (1-3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2220,6804,"0,0952",Small Scale Host (2-5),High Performer,Budget Popular,"72,6"
